file,method,direct_guard_candidates
"app/api/customer-cases/route.ts","GET","getAuthenticatedBusiness;getCurrentUser;canActOnApproval"
"app/api/customer-preparation/review/route.ts","POST","getAuthenticatedBusiness;getCurrentUser"
"app/api/customer-preparation/route.ts","GET",""
"app/api/customer-preparation/route.ts","PATCH",""
"app/api/customer-preparation/route.ts","POST",""
"app/api/customers/[id]/communication-trail/pdf/route.ts","GET","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/customers/[id]/communication-trail/route.ts","GET","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/customers/[id]/documents/[docId]/route.ts","DELETE","getAuthenticatedBusiness"
"app/api/customers/[id]/documents/[docId]/route.ts","GET","getAuthenticatedBusiness"
"app/api/customers/[id]/documents/route.ts","DELETE","getAuthenticatedBusiness"
"app/api/customers/[id]/documents/route.ts","GET","getAuthenticatedBusiness"
"app/api/customers/[id]/documents/route.ts","POST","getAuthenticatedBusiness"
"app/api/customers/[id]/documents/upload/route.ts","POST","getAuthenticatedBusiness"
"app/api/customers/[id]/facts/route.ts","DELETE","getAuthenticatedBusiness"
"app/api/customers/[id]/facts/route.ts","GET","getAuthenticatedBusiness"
"app/api/customers/[id]/portal-link/route.ts","DELETE","getAuthenticatedBusiness"
"app/api/customers/[id]/portal-link/route.ts","POST","getAuthenticatedBusiness"
"app/api/customers/[id]/referrals/route.ts","GET","getAuthenticatedBusiness"
"app/api/customers/[id]/rot-rut/route.ts","GET","getAuthenticatedBusiness"
"app/api/customers/[id]/timeline/route.ts","GET","getAuthenticatedBusiness"
"app/api/customers/bulk/route.ts","POST","getAuthenticatedBusiness"
"app/api/customers/duplicates/route.ts","GET","getAuthenticatedBusiness"
"app/api/customers/duplicates/route.ts","POST","getAuthenticatedBusiness"
"app/api/customers/import/route.ts","POST","getAuthenticatedBusiness"
"app/api/customers/route.ts","DELETE","getAuthenticatedBusiness"
"app/api/customers/route.ts","GET","getAuthenticatedBusiness"
"app/api/customers/route.ts","POST","getAuthenticatedBusiness"
"app/api/customers/route.ts","PUT","getAuthenticatedBusiness"
"app/api/customers/tags/route.ts","DELETE","getAuthenticatedBusiness"
"app/api/customers/tags/route.ts","GET","getAuthenticatedBusiness"
"app/api/customers/tags/route.ts","POST","getAuthenticatedBusiness"
"app/api/customers/tags/route.ts","PUT","getAuthenticatedBusiness"
"app/api/dashboard/belaggning/route.ts","GET","getAuthenticatedBusiness"
"app/api/dashboard/cash-radar/nudge/route.ts","POST","getAuthenticatedBusiness"
"app/api/dashboard/cash-radar/route.ts","GET","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/dashboard/economy-summary/route.ts","GET","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/dashboard/pengar/route.ts","GET","getAuthenticatedBusiness;getCurrentUser"
"app/api/dashboard/saved-scoreboard/route.ts","GET","getAuthenticatedBusiness"
"app/api/dashboard/stats/route.ts","GET","getAuthenticatedBusiness"
"app/api/dashboard/team-activity/route.ts","GET","getAuthenticatedBusiness"
"app/api/dashboard/trust-ladder/route.ts","GET","getAuthenticatedBusiness"
"app/api/dashboard/weekly-value/route.ts","GET","getAuthenticatedBusiness"
"app/api/deals/[id]/documents/[docId]/route.ts","DELETE","getAuthenticatedBusiness"
"app/api/deals/[id]/documents/[docId]/route.ts","GET","getAuthenticatedBusiness"
"app/api/deals/[id]/documents/route.ts","GET","getAuthenticatedBusiness"
"app/api/deals/[id]/documents/upload/route.ts","POST","getAuthenticatedBusiness"
"app/api/deals/[id]/flow/route.ts","GET","getAuthenticatedBusiness"
"app/api/deals/[id]/flow/route.ts","POST","getAuthenticatedBusiness"
"app/api/debug/e2e-invoice/route.ts","POST","getAuthenticatedBusiness"
"app/api/debug/e2e-lifecycle/route.ts","POST","getAuthenticatedBusiness"
"app/api/debug/e2e-onboarding-fresh/route.ts","POST","getAuthenticatedBusiness"
"app/api/debug/e2e-quote/route.ts","POST","getAuthenticatedBusiness"
"app/api/debug/mail/route.ts","POST","getAuthenticatedBusiness"
"app/api/debug/schema-audit/route.ts","GET","getAuthenticatedBusiness"
"app/api/debug/sms/route.ts","POST","getAuthenticatedBusiness"
"app/api/debug/storage/route.ts","GET","getAuthenticatedBusiness"
"app/api/documents/[id]/route.ts","DELETE","getAuthenticatedBusiness"
"app/api/documents/[id]/route.ts","GET","getAuthenticatedBusiness"
"app/api/documents/[id]/route.ts","PATCH","getAuthenticatedBusiness"
"app/api/documents/categories/route.ts","GET","getAuthenticatedBusiness"
"app/api/documents/route.ts","GET","getAuthenticatedBusiness"
"app/api/documents/route.ts","POST","getAuthenticatedBusiness"
"app/api/documents/templates/[id]/route.ts","DELETE","getAuthenticatedBusiness"
"app/api/documents/templates/[id]/route.ts","GET","getAuthenticatedBusiness"
"app/api/documents/templates/[id]/route.ts","PATCH","getAuthenticatedBusiness"
"app/api/documents/templates/route.ts","GET","getAuthenticatedBusiness"
"app/api/documents/templates/route.ts","POST","getAuthenticatedBusiness"
"app/api/email-templates/route.ts","DELETE","getAuthenticatedBusiness"
"app/api/email-templates/route.ts","GET","getAuthenticatedBusiness"
"app/api/email-templates/route.ts","POST","getAuthenticatedBusiness"
"app/api/email-templates/route.ts","PUT","getAuthenticatedBusiness"
"app/api/email/inbound/route.ts","POST",""
"app/api/export/route.ts","GET","getAuthenticatedBusiness;getCurrentUser"
"app/api/feedback/route.ts","GET","getAuthenticatedBusiness"
"app/api/feedback/route.ts","POST","getAuthenticatedBusiness"
"app/api/field-reports/[id]/sign/route.ts","POST",""
"app/api/field-reports/public/route.ts","GET",""
"app/api/field-reports/route.ts","GET","getAuthenticatedBusiness"
"app/api/field-reports/route.ts","POST","getAuthenticatedBusiness;verifyOwnership"
"app/api/foretagsskannern/spar/route.ts","POST",""
"app/api/form-submissions/[id]/pdf/route.ts","GET","getAuthenticatedBusiness"
"app/api/form-submissions/route.ts","DELETE","getAuthenticatedBusiness"
"app/api/form-submissions/route.ts","GET","getAuthenticatedBusiness"
"app/api/form-submissions/route.ts","PATCH","getAuthenticatedBusiness"
"app/api/form-submissions/route.ts","POST","getAuthenticatedBusiness;verifyOwnership"
"app/api/form-templates/route.ts","DELETE","getAuthenticatedBusiness"
"app/api/form-templates/route.ts","GET","getAuthenticatedBusiness"
"app/api/form-templates/route.ts","POST","getAuthenticatedBusiness"
"app/api/form-templates/route.ts","PUT","getAuthenticatedBusiness"
"app/api/gdpr/delete/route.ts","POST","getAuthenticatedBusiness;getCurrentUser"
"app/api/gdpr/export/route.ts","GET","getAuthenticatedBusiness;getCurrentUser"
"app/api/gmail/customer-emails/route.ts","GET","getAuthenticatedBusiness;getCurrentUser"
"app/api/gmail/email-content/route.ts","GET","getAuthenticatedBusiness;getCurrentUser"
"app/api/gmail/thread-messages/route.ts","GET","getAuthenticatedBusiness;getCurrentUser"
"app/api/google/calendars/route.ts","GET","getAuthenticatedBusiness;getCurrentUser"
"app/api/google/callback/route.ts","GET","getAuthenticatedBusiness"
"app/api/google/connect/route.ts","GET","getAuthenticatedBusiness;getCurrentUser"
